",",Категория (такие же как во вкладке Категории),Платформа,HLTB часы,Кто добавил,Дополнительно (Если указан челлендж - при его прохождении человек получает Хорошее колесо),Кто прошел - Отзыв
Мадагаскар,Адвенчура,PC,,Анонимус,,
Northern Journey,Адвенчура,PC,,Анонимус,Кто добавл у тебя большой хуй ,
Rayman 3,Джокерге,PC,,Анонимус,,
Garfield Kart - Furious Racing,Гоночки,PC,,Анонимус,,
Ядерный титбит,Джокерге,PC,,Анонимус,,
Казаки 1,Джокерге,PC,,Анонимус,Кампания за Россию + за Украину,
Serious Sam 1 (HD),Стрелялка,PC,,Анонимус,"и First, и Second Encounter",
Worms: Ultimate Mayhem,Экшоооон,PC,,Анонимус,Кампания,
Готика 1,Джокерге,PC,,Анонимус/lokki/,,
Hollow Knight,Платформер,,,Бежарь,Челлендж - Пройти Пантеон Халлоунеста,
ACE COMBAT™ 7: SKIES UNKNOWN,Симулятор,,,Бежарь,,
Dishonored,Экшн,PC,,Бежарь,Челлендж - без способностей ,
Hitman: Blood Money,Экшн,PC,,Бежарь,,
Yakuza 0,Экшн,PC,,Бежарь,Челлендж - So Amon,
Dishonored 2,Экшн,PC,,"Бежарь, гриша второй",Челлендж - плюсом Death of the Outsider,
SOMA,Адвенчура,,,Винил,,
Gunpoint,Головоломка,PC,,Винил,"Челлндж - Ачивка Sorry, Were You Using That?",
RONIN,головоломка,PC,,Винил,,
Scorn,Головоломка,,,Винил,,
The Talos Principle,Головоломка,,,Винил,,
The Witness,Джокерге,,,Винил,,
Barony,джакерке,PC,,Винил,,
BoneTown,джакерке,PC,,Винил,,
Darkest Dungeon,джакерке,PC,,Винил,,
Eraser,джакерке,PC,,Винил,,
Titan Souls,джакерке,PC,,Винил,,
Zero Clash 2 ,джакерке,PC,,Винил,,
Overlord,Джокерге,PC,,Винил,,
BattleBlock,Кооп,PC,,Винил,Челлендж - ачивка Virtuoso,
Helltaker,Паззл,,,Винил,,
celesta,Платформер,PC,,Винил,,
FlipWitch ,Платформер,PC,,Винил,,
Katana Zero,Платформер,PC,,Винил,,
Mirror's Edge,Платформер,PC,,Винил,                                                           ,
Momodora Reverie Under The Moonlight,Платформер,PC,,Винил,,
Nine Sols,Платформер,,,Винил,,
Ori and the Blind Forest,Платформер,PC,,Винил,,
Pizza Tower,Платформер,,,Винил,,
Rogue Legacy 2 ,Платформер,PC,,Винил,,
Shovel Knight,Платформер,PC,,Винил,,
Spelunky 2 ,Джокерге,PC,,Винил,,
Super Meat Boy,Платформер,PC,,Винил,,
Teslagrad ,Платформер,PC,,Винил,,
Bloody Trapland 2 ,Платформер ,PC,,Винил,Челлендж - Well Hidden Secret,
Ghost 1.0,Платформер ,PC,,Винил,Челлендж - Ачивка Survival 20        ,
LIMBO,Платформер ,PC,,Винил,,
Mark of the Ninja,Платформер ,PC,,Винил,Челлендж - путь пацифизма,
Anna's Quest,Поинд энд Клик,PC,,Винил,,
Edna Harvey Harvey's New Eyes,Поинд энд Клик,PC,,Винил,,
Deponia ,Поинт энд клик,PC,,Винил,,
Cult of the Lamb,Рогалик,,,Винил,,
Moonlighter ,Рогалик,PC,,Винил,,
Noita,Рогалик,,,Винил,,
Beholder,Симулятор,,,Винил,,
Drug Dealer Simulator 2,Симуляторы,,,Винил,,
Potion Craft: Alchemist Simulator,Симуляторы,,,Винил,,
RimWorld,Симуляторы,,,Винил,,
Subnautica,Симуляторы,,,Винил,,
Teardown,Симуляторы,,,Винил,,
The Farmer Was Replaced,Джокерге,,,Винил,,
Beyond Citadel,стрелялка,PC,,Винил,,
Bioshock ,стрелялка,PC,,Винил,,
Cry of Fear ,Стрелялка,Pc,,Винил,,
Doom,Стрелялка,PC,,Винил,,
Doom 2,Стрелялка,PC,,Винил,,
Half-Life 2,Стрелялка,PC,,Винил,"Челлендж - Достижение ""Следопыт""",
Resident Evil 5,Стрелялка,PC,,Винил,,
Saints Row 3 ,стрелялка,PC,,Винил,,
Watch_Dogs,Стрелялка,PC,,Винил,,
Half-Life,Стрелялки,PC,,Винил,,
Альтушка для скуфа,Читать,,,Винил,,
Hellblade,Читать,PC,,Винил,,
Milk outside a bag of milk outside a bag of milk,Читать,,,Винил,,
OneShot,Читать,,,Винил,,
Undertale,Читать,PC,,Винил,,
Catherine Classic ,Читать ,PC,,Винил,,
EverHood,Читать ,pc,,Винил,,
Life is Strange,Читать ,PC,,Винил,,
Transistor,Экшен,PC,,Винил,,
Alan Wake ,Экшн,PC,,Винил,,
ANNO:Mutationem,Экшн,PC,,Винил,,
Assassin's Creed III,Экшн,PC,,Винил,,
ATLYSS,Экшн,PC,,Винил,,
Bayonetta,Экшн,PC,,Винил,,
Darksiders,Экшн,PC,,Винил,,
Dead Island,Экшн,,,Винил,,
Hatred,Экшн,,,Винил,,
Jotun: Valhalla Edition,Экшн,,,Винил,,
METAL GEAR RISING: REVENGEANCE,Экшн,,,Винил,,
no more hero,Экшн,,,Винил,,
ROMEO IS A DEAD MAN,Экшн,,,Винил,,
Ryse: Son of Rome,Экшн,,,Винил,,
Sifu,Экшн,,,Винил,,
Sleeping Dogs,Экшн,PC,,Винил,,
Sons Of The Forest,Экшн,,,Винил,,
Amnesia The Dark Descent,Cozy,PC,,Винил,,
Castle Crasher ,Cozy,PC,,Винил,Челлендж - собрать всех питомцев,
Crossing Souls,cozy,PC,,Винил,,
Easy Delivery Co.,Cozy,PC,,Винил,,
Hotline Miami,Cozy,PC,,Винил,Челлендж - найти все маски,
Human Fall Flat,Cozy,PC,,Винил,,
Loop hero,Cozy,PC,,Винил,,
Lost Castle,Cozy,PC,,Винил,,
MineCraft,Cozy,PC,,Винил,,
Octodad: Dadliest Catch,Cozy,,,Винил,,
Overlord 2 ,Cozy,PC,,Винил,,
"Papers, Please",Cozy,PC,,Винил,,
Plants vs. Zombies,Cozy,PC,,Винил,,
Starbound,Cozy,PC,,Винил,,
Ведьмак 3,RPG,РС,,Винил,Челлендж - пройти все длс,
плюсом Death of the Outsider,RPG,PC,,Винил,,
Risen,RPG,PC,,Винил,Челлендж - ачивка Оружейник,
Unepic,RPG,PC,,Винил,,
Raft,Адвенчура,PC,,Владус,Сделать загон с козой,
Project Zomboid,Джокерге,PC,,Владус,Выжить 24 дня,
Samurai warriors 2,Джокерге,PC,,Владус,Пройти 10 глав,
A way out,Кооп,PC,,Владус,,
Bread and Fred,Кооп,PC,,Владус,,
It Takes Two,Кооп,PC,,Владус,,
We were here expeditions,Кооп,PC,,Владус,,
We were here forever,Кооп,PC,,Владус,,
We were here together,Кооп,PC,,Владус,,
